Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,Base Score
1670822,Kasturi  ,Convenience Store,3580,W 3rd St,,Los Angeles,CA,90020,2082,LOS ANGELES,34.0689,-118.2937,2025-12-30,,1
1658963,Family Marketing  ,Convenience Store,5971,S Main St,Unit 104,Los Angeles,CA,90003,1257,LOS ANGELES,33.98544,-118.2744,2025-12-18,,1
1667445,Jk Liquor  ,Convenience Store,9621,S Normandie Ave,,Los Angeles,CA,90044,1821,LOS ANGELES,33.94788,-118.3005,2025-12-18,,1
1672423,7 Eleven Store 41239 B  ,Convenience Store,348,W Arbor Vitae St,,Inglewood,CA,90301,3752,LOS ANGELES,33.95243,-118.3611,2025-12-18,,1
1666398,Gorty Market  ,Convenience Store,867,E Vernon Ave,,Los Angeles,CA,90011,3738,LOS ANGELES,34.00413,-118.2604,2025-12-17,,1
1660341,La Princesita Meat Market  ,Medium Grocery Store,2514,E Cesar E Chavez Ave,,Los Angeles,CA,90033,3004,LOS ANGELES,34.04585,-118.2061,2025-12-17,,3
1671276,3 Jays Liquor  ,Convenience Store,2333,W Washington Blvd,,Los Angeles,CA,90018,1446,LOS ANGELES,34.04016,-118.3127,2025-12-12,,1
1665960,La Pradera Market  ,Convenience Store,1611,James M Wood Blvd,,Los Angeles,CA,90015,1005,LOS ANGELES,34.05114,-118.2735,2025-12-09,,1
1655126,ABS Liquor  ,Convenience Store,3233,Tweedy Blvd,,South Gate,CA,90280,4326,LOS ANGELES,33.94525,-118.2144,2025-12-09,,1
978408,Gardena Arco  ,Convenience Store,854,W El Segundo Blvd,,Gardena,CA,90247,1723,LOS ANGELES,33.91608,-118.2912,2025-12-09,,1
1668712,Amigo Market  ,Convenience Store,2609,W Temple St,,Los Angeles,CA,90026,4821,LOS ANGELES,34.0728,-118.2751,2025-12-08,,1
1669799,M & M Mini-Market Tobooco  ,Convenience Store,5905,S Normandie Ave,,Los Angeles,CA,90044,2818,LOS ANGELES,33.98733,-118.3004,2025-12-02,,1
1670260,Franklin & Gower Service Station  ,Convenience Store,6100,Franklin Ave,,Los Angeles,CA,90028,5206,LOS ANGELES,34.10497,-118.3228,2025-12-01,,1
376381,Karabagh Meat Market  ,Large Grocery Store,5363,Santa Monica Blvd,,Los Angeles,CA,90029,1105,LOS ANGELES,34.09114,-118.3061,2025-11-28,,4
1661871,Ford Liquor Market  ,Convenience Store,7887,Garfield Ave,,Bell Gardens,CA,90201,5615,LOS ANGELES,33.96006,-118.1564,2025-11-25,,1
1668418,Skid Row People's Market LLC  ,Convenience Store,453,S San Pedro St,,Los Angeles,CA,90013,2129,LOS ANGELES,34.04448,-118.2439,2025-11-25,,1
1666327,Washington Mini Market  ,Small Grocery Store,3404,W Washington Blvd,,Los Angeles,CA,90018,1252,LOS ANGELES,34.0396,-118.3217,2025-11-24,,2
844026,Brooklyn Liquor  ,Convenience Store,2101,E Cesar E Chavez Ave,,Los Angeles,CA,90033,1822,LOS ANGELES,34.04856,-118.2112,2025-11-24,,1
1670432,7 Eleven Store 37062B  ,Convenience Store,7117,S Vermont Ave,,Los Angeles,CA,90044,5248,LOS ANGELES,33.97499,-118.292,2025-11-24,,1
1665403,Carniceria & Market Guadalajara ,Medium Grocery Store,5705,Atlantic Blvd,,Maywood,CA,90270,4920,LOS ANGELES,33.98888,-118.1861,2025-11-21,,3
1661602,Pomona Market  ,Convenience Store,2747,Lincoln Park Ave,,Los Angeles,CA,90031,2428,LOS ANGELES,34.07858,-118.203,2025-11-20,,1
1664150,Potosina 2  ,Convenience Store,4140,Whittier Blvd,,Los Angeles,CA,90023,2520,LOS ANGELES,34.02374,-118.181,2025-11-19,,1
1666846,Imo Market Llc  ,Convenience Store,5408,S Western Ave,,Los Angeles,CA,90062,2704,LOS ANGELES,33.99302,-118.3088,2025-11-18,,1
1664299,Ali's Mini Market  ,Convenience Store,8322,Compton Ave,,Los Angeles,CA,90001,3918,LOS ANGELES,33.96312,-118.2475,2025-11-18,,1
1673894,Sprouts Farmers Market 486,Supermarket,1433,Glendale Blvd, ,Los Angeles,CA,90026,2428,LOS ANGELES,34.0809,-118.2604,2025-11-17,,5
1662857,Csu - Los Angeles Village Dining Market  ,Convenience Store,5500,Paseo Rancho Castilla,,Los Angeles,CA,90032,1877,LOS ANGELES,34.07078,-118.1646,2025-11-17,,1
1672207,7 Eleven Store 37754 B  ,Convenience Store,1717,S Soto St,,Los Angeles,CA,90023,2637,LOS ANGELES,34.01764,-118.2205,2025-11-17,,1
1670428,Westside Euromart  ,Convenience Store,10857,Santa Monica Blvd,,Los Angeles,CA,90025,4615,LOS ANGELES,34.05018,-118.4369,2025-11-17,,1
1666668,Number 2 Smokes Inc  ,Convenience Store,425,E Imperial Hwy,#E,Los Angeles,CA,90061, ,LOS ANGELES,33.93122,-118.2656,2025-11-17,,1
1649615,Giant Liquor  ,Convenience Store,455,W Florence Ave,Ste D,Los Angeles,CA,90003,1712,LOS ANGELES,33.97503,-118.2823,2025-11-17,,1
1661201,Oyha Mini Market o,Convenience Store,1815,W Jefferson Blvd,,Los Angeles,CA,90018,3434,LOS ANGELES,34.02568,-118.3095,2025-11-17,,1
1193587,Chayo Market  ,Convenience Store,2916,Maple Ave,,Los Angeles,CA,90011,1942,LOS ANGELES,34.02055,-118.267,2025-11-17,,1
1398394,El Quelite Produce  ,Medium Grocery Store,3100,E Imperial Hwy,Ste B1 1305,Lynwood,CA,90262,3202,LOS ANGELES,33.92939,-118.2151,2025-11-14,,3
1664014,Go 1 Market  ,Convenience Store,11151,Avalon Blvd,Ste 110,Los Angeles,CA,90061,3077,LOS ANGELES,33.93346,-118.2655,2025-11-14,,1
1664358,Jiffy Liquor Market  ,Convenience Store,4057,Slauson Ave,,Maywood,CA,90270,2739,LOS ANGELES,33.98817,-118.1927,2025-11-14,,1
1673307,Northgate 47,Super Store,11630,Long Beach Blvd, ,Lynwood,CA,90262,4324,LOS ANGELES,33.92262,-118.2096,2025-11-13,,3
1668359,Mora Smoke And Market  ,Convenience Store,3612,W Slauson Ave,,Los Angeles,CA,90043,2900,LOS ANGELES,33.98891,-118.3352,2025-11-13,,1
1668848,Angel Market ,Convenience Store,5107,W Sunset Blvd,,Los Angeles,CA,90027,5715,LOS ANGELES,34.09829,-118.3008,2025-11-13,,1
1666379,Sy Market  ,Convenience Store,5420,S Vermont Ave,,Los Angeles,CA,90037,3532,LOS ANGELES,33.99304,-118.2914,2025-11-13,,1
1594665,Quickmart  ,Convenience Store,216,E 6th St,,Los Angeles,CA,90014,2119,LOS ANGELES,34.04367,-118.2492,2025-10-23,2025-12-09,1
1607866,Janeths Market 2  ,Convenience Store,4730,S Normandie Ave,,Los Angeles,CA,90037,2855,LOS ANGELES,33.99976,-118.2999,2025-10-23,2025-12-09,1
1665211,7 Eleven Store 19667 E  ,Convenience Store,6701,Santa Monica Blvd,,Los Angeles,CA,90038,1202,LOS ANGELES,34.09089,-118.3364,2025-09-29,,1
1510669,Video Dvd Mart  ,Small Grocery Store,363,S Western Ave,,Los Angeles,CA,90020,3804,LOS ANGELES,34.0674,-118.3095,2025-09-29,,2
1668745,Apple Mini Market  ,Convenience Store,8922,S Central Ave,,Los Angeles,CA,90002,1738,LOS ANGELES,33.95493,-118.2562,2025-09-29,,1
1667584,Hg Mini Mart & Tobacco  ,Convenience Store,4401,S Main St,,Los Angeles,CA,90037,2731,LOS ANGELES,34.00332,-118.2744,2025-09-26,,1
1192116,Azteca Market  ,Convenience Store,9020,Long Beach Blvd, ,South Gate,CA,90280,2810,LOS ANGELES,33.95379,-118.2191,2025-09-23,,1
1647065,Big Apple  ,Convenience Store,630,S Los Angeles St,Ste B1,Los Angeles,CA,90014,3452,LOS ANGELES,34.04388,-118.2495,2025-09-23,,1
1664332,Giant Dollar  ,Combination Grocery/Other,3351,Tweedy Blvd,,South Gate,CA,90280,4349,LOS ANGELES,33.94499,-118.2102,2025-09-23,,2
1661883,East La Cold Beer & Wine Groceries Market ,Convenience Store,3318,City Terrace Dr,,Los Angeles,CA,90063,3842,LOS ANGELES,34.04893,-118.189,2025-09-23,,1
1634725,Chla C-store  ,Convenience Store,4650,West Sunset,Mailstop 9 #1008,Los Angeles,CA,90027, ,LOS ANGELES,34.09788,-118.2906,2025-09-22,,1
1651096,Green Life Market And Deli no,Convenience Store,664,S Bixel St,,Los Angeles,CA,90017,2445,LOS ANGELES,34.05187,-118.2635,2025-09-22,,1
982256,Columbia Liquor  ,Convenience Store,5901,Compton Ave,,Los Angeles,CA,90001,1309,LOS ANGELES,33.98692,-118.248,2025-09-19,,1
1661864,Rosevan Liquor Market  ,Convenience Store,14306,Van Ness Ave,,Gardena,CA,90249,2926,LOS ANGELES,33.90147,-118.3176,2025-09-16,,1
1211980,Mia's Mini Market 1,Small Grocery Store,3900,Denker Ave,,Los Angeles,CA,90062,1140,LOS ANGELES,34.01538,-118.3043,2025-09-16,,2
1665299,Beverly Hills Farmers' Market  ,Farmers' Market,9300,Civic Center Dr, ,Beverly Hills,CA,90210,3604,LOS ANGELES,34.07637,-118.396,2025-09-15,,5
1665213,7 Eleven Store 34491 C  ,Convenience Store,3791,Martin Luther King Jr Blvd,,Lynwood,CA,90262,3507,LOS ANGELES,33.92855,-118.1997,2025-09-15,,1
1670461,KENK USA 63286,Convenience Store,5756,Whittier Blvd, ,Commerce,CA,90022,4233,LOS ANGELES,34.01793,-118.1464,2025-09-12,,1
1670458,KENK USA 63279,Convenience Store,2251,N Figueroa St, ,Los Angeles,CA,90065,1023,LOS ANGELES,34.0839,-118.2229,2025-09-12,,1
1670476,STAR MSO 63254,Convenience Store,5230,W Rosecrans Ave, ,Hawthorne,CA,90250,6647,LOS ANGELES,33.90149,-118.3717,2025-09-12,,1
1670471,STAR MSO 63191,Convenience Store,11890,Hawthorne Blvd, ,Hawthorne,CA,90250,3014,LOS ANGELES,33.92579,-118.3521,2025-09-12,,1
1670481,STAR MSO 68557,Convenience Store,4660,W Slauson Ave, ,Los Angeles,CA,90043,2722,LOS ANGELES,33.98821,-118.3582,2025-09-12,,1
1670477,STAR MSO 63256,Convenience Store,4015,Redondo Beach Blvd, ,Lawndale,CA,90260,3010,LOS ANGELES,33.87739,-118.3444,2025-09-12,,1
1670459,KENK USA 63281,Convenience Store,1205,S Alvarado St, ,Los Angeles,CA,90006,4119,LOS ANGELES,34.0487,-118.282,2025-09-12,,1
1670464,STAR MSO 6373,Convenience Store,29145,Heathercliff Rd, ,Malibu,CA,90265,4124,LOS ANGELES,34.0217,-118.8091,2025-09-12,,1
1670480,STAR MSO 68544,Convenience Store,804,W Manchester Blvd, ,Inglewood,CA,90301,1525,LOS ANGELES,33.9613,-118.3705,2025-09-12,,1
1670478,STAR MSO 63257,Convenience Store,16515,Hawthorne Blvd, ,Lawndale,CA,90260,2916,LOS ANGELES,33.88042,-118.353,2025-09-12,,1
1662288,Smart 8 ,Combination Grocery/Other,4801,S Main St,,Los Angeles,CA,90037,3218,LOS ANGELES,33.99902,-118.2742,2025-09-10,,2
1663557,Los Feliz Farmers Market  ,Farmers' Market,1900,N Vermont Ave,,Los Angeles,CA,90027,1899,LOS ANGELES,34.10562,-118.2916,2025-09-04,,5
1663397,Little Tokyo Farmers Market  ,Farmers' Market,240,S San Pedro St, ,Los Angeles,CA,90012,3814,LOS ANGELES,34.04809,-118.2418,2025-08-28,,5
1663491,51st Mart  ,Large Grocery Store,5026,Avalon Blvd,,Los Angeles,CA,90011,4005,LOS ANGELES,33.99686,-118.2647,2025-08-26,,4
